rk,squad,mp,w,d,l,gf,ga,gd,pts,season,fetched_date,week_no
1,Arsenal,10,8,1,1,18,3,15,25,2025-2026,2025-11-07,45
2,Manchester City,10,6,1,3,20,8,12,19,2025-2026,2025-11-07,45
3,Liverpool,10,6,0,4,18,14,4,18,2025-2026,2025-11-07,45
4,Sunderland,10,5,3,2,12,8,4,18,2025-2026,2025-11-07,45
5,Bournemouth,10,5,3,2,17,14,3,18,2025-2026,2025-11-07,45
6,Tottenham Hotspur,10,5,2,3,17,8,9,17,2025-2026,2025-11-07,45
7,Chelsea,10,5,2,3,18,11,7,17,2025-2026,2025-11-07,45
8,Manchester United,10,5,2,3,17,16,1,17,2025-2026,2025-11-07,45
9,Crystal Palace,10,4,4,2,14,9,5,16,2025-2026,2025-11-07,45
10,Brighton & Hove Albion,10,4,3,3,17,15,2,15,2025-2026,2025-11-07,45
11,Aston Villa,10,4,3,3,9,10,-1,15,2025-2026,2025-11-07,45
12,Brentford,10,4,1,5,14,16,-2,13,2025-2026,2025-11-07,45
13,Newcastle United,10,3,3,4,10,11,-1,12,2025-2026,2025-11-07,45
14,Everton,10,3,3,4,10,13,-3,12,2025-2026,2025-11-07,45
15,Fulham,10,3,2,5,12,14,-2,11,2025-2026,2025-11-07,45
16,Leeds United,10,3,2,5,9,17,-8,11,2025-2026,2025-11-07,45
17,Burnley,10,3,1,6,12,19,-7,10,2025-2026,2025-11-07,45
18,West Ham United,10,2,1,7,10,21,-11,7,2025-2026,2025-11-07,45
19,Nottingham Forest,10,1,3,6,7,19,-12,6,2025-2026,2025-11-07,45
20,Wolverhampton Wanderers,10,0,2,8,7,22,-15,2,2025-2026,2025-11-07,45
